drug_a,drug_b,n_pathways_union,n_target_classes,target_classes,covered_pathways,complementarity,combo_score,ddi_severity,ddi_mechanism,ddi_recommendation,safety_score,adjusted_score,safety_a,safety_b,a_in_trials,b_in_trials
ARIPIPRAZOLE,SERTRALINE,4,3,dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6433,unknown,,,0.525,0.3377,tier_1_favorable,,True,
ARIPIPRAZOLE,VENLAFAXINE,4,3,dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6433,unknown,,,0.525,0.3377,tier_1_favorable,,True,
ECOPIPAM,ATOMOXETINE,4,2,dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6419,unknown,,,0.525,0.337,tier_1_favorable,,True,
ECOPIPAM,CITALOPRAM,4,2,dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6419,unknown,,,0.525,0.337,tier_1_favorable,,True,
ECOPIPAM,DULOXETINE,4,2,dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6419,unknown,,,0.525,0.337,tier_1_favorable,,True,
ECOPIPAM,FLUOXETINE,4,2,dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6419,unknown,,,0.525,0.337,tier_1_favorable,,True,
ECOPIPAM,NEFAZODONE,4,2,dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6419,unknown,,,0.525,0.337,tier_1_favorable,,True,
ECOPIPAM,PAROXETINE,4,2,dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6419,unknown,,,0.525,0.337,tier_1_favorable,,True,
ECOPIPAM,SERTRALINE,4,2,dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6419,unknown,,,0.525,0.337,tier_1_favorable,,True,
ECOPIPAM,VENLAFAXINE,4,2,dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6419,unknown,,,0.525,0.337,tier_1_favorable,,True,
ARIPIPRAZOLE,PIMAVANSERIN,4,2,dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4981,minor,No significant PK interaction; complementary 5-HT2A/D2 mechanisms,Dual-circuit combination: cortical (5-HT2A) + striatal (D2),0.675,0.3362,tier_1_favorable,,True,
RISPERIDONE,GUANFACINE,4,4,adrenergic;cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5568,unknown,,,0.595,0.3313,tier_2_acceptable,tier_1_favorable,True,True
CLOZAPINE,CLONIDINE,4,5,adrenergic;cholinergic;dopamine;histamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5947,unknown,,,0.525,0.3122,,tier_1_favorable,,True
CLOZAPINE,GUANFACINE,4,5,adrenergic;cholinergic;dopamine;histamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5947,unknown,,,0.525,0.3122,,tier_1_favorable,,True
ARIPIPRAZOLE,ECOPIPAM,4,2,dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,0,0.4436,unknown,,,0.7,0.3105,tier_1_favorable,tier_1_favorable,True,True
ARIPIPRAZOLE,XANOMELINE,4,3,cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5214,unknown,,,0.595,0.3102,tier_1_favorable,tier_2_acceptable,True,False
ECOPIPAM,XANOMELINE,4,2,cholinergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5201,unknown,,,0.595,0.3095,tier_1_favorable,tier_2_acceptable,True,False
ECOPIPAM,RISPERIDONE,4,4,adrenergic;cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,0,0.5146,unknown,,,0.595,0.3062,tier_1_favorable,tier_2_acceptable,True,True
KETANSERIN,CLONIDINE,4,4,adrenergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5828,unknown,,,0.525,0.306,,tier_1_favorable,,True
KETANSERIN,GUANFACINE,4,4,adrenergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5828,unknown,,,0.525,0.306,,tier_1_favorable,,True
